,restaurant,address,available on,category,item,tags,price
0,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Appetizers,ROASTED CHIPS AND SALSA,"['GF', 'V']",['$4.00']
1,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Appetizers,TIKKA CON QUESO,['N'],['$7.50']
2,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Appetizers,VEG PUFF SAMOSAS,['V'],['$7.00']
3,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Appetizers,LAMB PUFF SAMOSAS,[],['$9.00']
4,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Appetizers,KOLIWADA SHRIMP,['GF'],['$12.00']
5,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Appetizers,QUESADILLAS CHICKEN /PANEER,[],['$10.00']
6,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Appetizers,MASALA WINGS (5),['GF'],['$10.00']
7,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Appetizers,ONION PAKODA,"['V', 'GF']",['$10.00']
8,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Appetizers,QUESADILLAS KALE,[],['$10.00']
9,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Appetizers,NACHOS CHEESE,[],['$9.00']
10,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Appetizers,NACHOS CHICKEN,[],['$12.00']
11,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Appetizers,NACHOS TOFU,[],['$12.00']
12,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Appetizers,NACHOS SHRIMP,[],['$13.00']
13,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Appetizers,NACHOS KHEEMA,[],['$14.00']
14,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Appetizers,NACHOS PANEER,[],['$13.00']
15,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Soups & Salads,GINGER CHICKEN OR VEGETABLE SOUP,['GF'],['$8.00']
16,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Soups & Salads,DAL SOUP,"['GF', 'V']",['$8.00']
17,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Soups & Salads,SPRING MIX SALAD,[],"['$3.50/S', '$5.00/L']"
18,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Tex Mex-Indo Fusion,TACO PLATES,[],['$13.00/+']
19,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Tex Mex-Indo Fusion,ENCHILADAS,['CAN BE MADE GF'],['$15.00/+']
20,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Tex Mex-Indo Fusion,CHILI RELLENO,[],['$17.00']
21,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Tex Mex-Indo Fusion,VEGETARIAN CHILI RELLENO PLATE,['GF'],['$16.00']
22,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Tex Mex-Indo Fusion,TOSTADAS,[],['$15.00']
23,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Tex Mex-Indo Fusion,CARNE ASADA,['GF'],['$20.00']
24,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Specialties,ALOO GOBI,"['V', 'GF']",['$15.00']
25,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Specialties,KHEEMA MASALA,['GF'],['$16.00']
26,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Specialties,CABBAGE WITH CHANA DAL,[],['$13.00']
27,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Specialties,KALE CHANA DAL (V),['GF'],['$14.00']
28,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Specialties,GHATI MASALA DAL,[],['$15.00']
29,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Specialties,CHANA MASALA,[],['$15.00']
30,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Biryani,VEGETABLE BIRYANI,[],['$16.00']
31,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Biryani,CHICKEN BIRYANI,[],['$17.00']
32,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Biryani,TOFU OR PANEER BIRYANI,[],['$17.00']
33,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Biryani,LAMB BIRYANI,[],['$19.00']
34,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Biryani,SHRIMP BIRYANI,[],['$19.00']
35,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Biryani,FRESH SALMON* BIRYANI,[],['$19.00']
36,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Nan Bread,NAN,[],['$3.00']
37,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Nan Bread,GARLIC NAN,[],['$4.50']
38,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Nan Bread,ONION NAN,[],['$4.50']
39,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Nan Bread,JALAPENO NAN,[],['$4.50']
40,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Nan Bread,PANEER NAN,[],['$5.50']
41,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Nan Bread,PESHAWARI NAN,[],['$5.50']
42,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Nan Bread,TORTILLAS (3),[],['$2.00']
43,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Enchiladas,"CHICKEN, TOFU OR PANEER",[],['$16.00']
44,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Enchiladas,ALOO GOBI,[],['$15.00']
45,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Enchiladas,SAAG,[],['$15.00']
46,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Curries (GF),MILLIONAIRES CURRY,[],['']
47,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Curries (GF),VINDALOO,[],['']
48,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Curries (GF),SHAHI KORMA,['N'],['']
49,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Curries (GF),SAAG,[],['']
50,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Curries (GF),GHATI MASALA DAL,[],['']
51,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Curries (GF),TIKKA MASALA,['N'],['']
52,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Curries (GF),VERDE MASALA,[],['']
53,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Curries (GF),CHANA MASALA/CHANA SAAG,[],['']
54,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Curries (GF),MALVANI ROASTED COCONUT CURRY,[],['']
55,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Kids,QUESADILLAS,[],['$4.00']
56,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Sides,ACHAR,[],"['$0.50/SM', '$2.00/L']"
57,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Sides,RAITA,[],"['$0.50/SM', '$2.00/L']"
58,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Sides,SALSA,[],"['$0.50/SM', '$2.00/L']"
59,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Sides,RANCH,[],"['$0.50/SM', '$2.00/L']"
60,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Sides,BLUE CHEESE,[],"['$0.50/SM', '$2.00/L']"
61,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Sides,CHUTNEYS,[],"['$0.50/SM', '$2.00/L']"
62,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Sides,SCHEZWAN SAUCE,[],"['$1.00/SM', '$3.00/L']"
63,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Sides,SPICY MANGO SAUCE,[],"['$1.00/SM', '$3.00/L']"
64,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Sides,MANGO CHUTNEY,[],"['$1.00/SM', '$3.00/L']"
65,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Desserts,RASMALI,['N'],['$5.00']
66,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Desserts,GULAB JAMUN,[],['$5.00']
67,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Desserts,SHEERA,[],['$5.00']
68,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Thali,VEGGIE THALI,[],['$15.00']
69,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Thali,PANEER THALI,[],['$16.00']
70,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Thali,SHRIMP THALI,[],['$17.00']
71,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Thali,TOFU THALI,[],['$16.00']
72,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Thali,CHICKEN THALI,[],['$16.00']
73,Nasha,"1614 E 7th St, Austin, TX 78702, USA","Pickup, Delivery",Thali,LAMB THALI,[],['$17.00']
